10248	VINET	5	1996-07-04 00:00:00.000	1996-08-01 00:00:00.000	1996-07-16 00:00:00.000	Reims	France
10249	TOMSP	6	1996-07-05 00:00:00.000	1996-08-16 00:00:00.000	1996-07-10 00:00:00.000	Munster	Germany
10250	HANAR	4	1996-07-08 00:00:00.000	1996-08-05 00:00:00.000	1996-07-12 00:00:00.000	Rio de Janeiro	Brazil
10251	VICTE	3	1996-07-08 00:00:00.000	1996-08-05 00:00:00.000	1996-07-15 00:00:00.000	Lyon	France
10252	SUPRD	4	1996-07-09 00:00:00.000	1996-08-06 00:00:00.000	1996-07-11 00:00:00.000	Charleroi	Belgium
10253	HANAR	3	1996-07-10 00:00:00.000	1996-07-24 00:00:00.000	1996-07-16 00:00:00.000	Rio de Janeiro	Brazil
10254	CHOPS	5	1996-07-11 00:00:00.000	1996-08-08 00:00:00.000	1996-07-23 00:00:00.000	Bern	Switzerland
10255	RICSU	9	1996-07-12 00:00:00.000	1996-08-09 00:00:00.000	1996-07-15 00:00:00.000	Geneve	Switzerland
10256	WELLI	3	1996-07-15 00:00:00.000	1996-08-12 00:00:00.000	1996-07-17 00:00:00.000	Resende	Brazil
10257	HILAA	4	1996-07-16 00:00:00.000	1996-08-13 00:00:00.000	1996-07-22 00:00:00.000	San Cristobal	Venezuela
10258	ERNSH	1	1996-07-17 00:00:00.000	1996-08-14 00:00:00.000	1996-07-23 00:00:00.000	Graz	Austria
10259	CENTC	4	1996-07-18 00:00:00.000	1996-08-15 00:00:00.000	1996-07-25 00:00:00.000	Mexico D.F.	Mexico
10260	OTTIK	4	1996-07-19 00:00:00.000	1996-08-16 00:00:00.000	1996-07-29 00:00:00.000	Koln	Germany
10261	QUEDE	4	1996-07-19 00:00:00.000	1996-08-16 00:00:00.000	1996-07-30 00:00:00.000	Rio de Janeiro	Brazil
10262	RATTC	8	1996-07-22 00:00:00.000	1996-08-19 00:00:00.000	1996-07-25 00:00:00.000	Albuquerque	USA
10263	ERNSH	9	1996-07-23 00:00:00.000	1996-08-20 00:00:00.000	1996-07-31 00:00:00.000	Graz	Austria
10264	FOLKO	6	1996-07-24 00:00:00.000	1996-08-21 00:00:00.000	1996-08-23 00:00:00.000	Bracke	Sweden
10265	BLONP	2	1996-07-25 00:00:00.000	1996-08-22 00:00:00.000	1996-08-12 00:00:00.000	Strasbourg	France
10266	WARTH	3	1996-07-26 00:00:00.000	1996-09-06 00:00:00.000	1996-07-31 00:00:00.000	Oulu	Finland
10267	FRANK	4	1996-07-29 00:00:00.000	1996-08-26 00:00:00.000	1996-08-06 00:00:00.000	Munchen	Germany
10268	GROSR	8	1996-07-30 00:00:00.000	1996-08-27 00:00:00.000	1996-08-02 00:00:00.000	Caracas	Venezuela
10269	WHITC	5	1996-07-31 00:00:00.000	1996-08-14 00:00:00.000	1996-08-09 00:00:00.000	Seattle	USA
10270	WARTH	1	1996-08-01 00:00:00.000	1996-08-29 00:00:00.000	1996-08-02 00:00:00.000	Oulu	Finland
10271	SPLIR	6	1996-08-01 00:00:00.000	1996-08-29 00:00:00.000	1996-08-30 00:00:00.000	Lander	USA
10272	RATTC	6	1996-08-02 00:00:00.000	1996-08-30 00:00:00.000	1996-08-06 00:00:00.000	Albuquerque	USA
10273	QUICK	3	1996-08-05 00:00:00.000	1996-09-02 00:00:00.000	1996-08-12 00:00:00.000	Cunewalde	Germany
10274	VINET	6	1996-08-06 00:00:00.000	1996-09-03 00:00:00.000	1996-08-16 00:00:00.000	Reims	France
10275	MAGAA	1	1996-08-07 00:00:00.000	1996-09-04 00:00:00.000	1996-08-09 00:00:00.000	Bergamo	Italy
10276	TORTU	8	1996-08-08 00:00:00.000	1996-08-22 00:00:00.000	1996-08-14 00:00:00.000	Mexico D.F.	Mexico
10277	MORGK	2	1996-08-09 00:00:00.000	1996-09-06 00:00:00.000	1996-08-13 00:00:00.000	Leipzig	Germany
10278	BERGS	8	1996-08-12 00:00:00.000	1996-09-09 00:00:00.000	1996-08-16 00:00:00.000	Lulea	Sweden
10279	LEHMS	8	1996-08-13 00:00:00.000	1996-09-10 00:00:00.000	1996-08-16 00:00:00.000	Frankfurt a.M.	Germany
10280	BERGS	2	1996-08-14 00:00:00.000	1996-09-11 00:00:00.000	1996-09-12 00:00:00.000	Lulea	Sweden
10281	ROMEY	4	1996-08-14 00:00:00.000	1996-08-28 00:00:00.000	1996-08-21 00:00:00.000	Madrid	Spain
10282	ROMEY	4	1996-08-15 00:00:00.000	1996-09-12 00:00:00.000	1996-08-21 00:00:00.000	Madrid	Spain
10283	LILAS	3	1996-08-16 00:00:00.000	1996-09-13 00:00:00.000	1996-08-23 00:00:00.000	Barquisimeto	Venezuela
10284	LEHMS	4	1996-08-19 00:00:00.000	1996-09-16 00:00:00.000	1996-08-27 00:00:00.000	Frankfurt a.M.	Germany
10285	QUICK	1	1996-08-20 00:00:00.000	1996-09-17 00:00:00.000	1996-08-26 00:00:00.000	Cunewalde	Germany
10286	QUICK	8	1996-08-21 00:00:00.000	1996-09-18 00:00:00.000	1996-08-30 00:00:00.000	Cunewalde	Germany
10287	RICAR	8	1996-08-22 00:00:00.000	1996-09-19 00:00:00.000	1996-08-28 00:00:00.000	Rio de Janeiro	Brazil
10288	REGGC	4	1996-08-23 00:00:00.000	1996-09-20 00:00:00.000	1996-09-03 00:00:00.000	Reggio Emilia	Italy
10289	BSBEV	7	1996-08-26 00:00:00.000	1996-09-23 00:00:00.000	1996-08-28 00:00:00.000	London	UK
10290	COMMI	8	1996-08-27 00:00:00.000	1996-09-24 00:00:00.000	1996-09-03 00:00:00.000	Sao Paulo	Brazil
10291	QUEDE	6	1996-08-27 00:00:00.000	1996-09-24 00:00:00.000	1996-09-04 00:00:00.000	Rio de Janeiro	Brazil
10292	TRADH	1	1996-08-28 00:00:00.000	1996-09-25 00:00:00.000	1996-09-02 00:00:00.000	Sao Paulo	Brazil
10293	TORTU	1	1996-08-29 00:00:00.000	1996-09-26 00:00:00.000	1996-09-11 00:00:00.000	Mexico D.F.	Mexico
10294	RATTC	4	1996-08-30 00:00:00.000	1996-09-27 00:00:00.000	1996-09-05 00:00:00.000	Albuquerque	USA
10295	VINET	2	1996-09-02 00:00:00.000	1996-09-30 00:00:00.000	1996-09-10 00:00:00.000	Reims	France
