ProductAlterKey,Product,Category,LineageKey,DWProduct,DWCategory
1,Chai,Beverages,5,Chai,Beverages
2,Chang,Beverages,5,Chang,Beverages
3,Aniseed Syrup,Condiments,5,Aniseed Syrup,Condiments
4,Chef Anton's Cajun Seasoning,Condiments,5,Chef Anton's Cajun Seasoning,Condiments
5,Chef Anton's Gumbo Mix,Condiments,5,Chef Anton's Gumbo Mix,Condiments
6,Grandma's Boysenberry Spread,Condiments,5,Grandma's Boysenberry Spread,Condiments
7,Uncle Bob's Organic Dried Pears,Produce,5,Uncle Bob's Organic Dried Pears,Produce
8,Northwoods Cranberry Sauce,Condiments,5,Northwoods Cranberry Sauce,Condiments
9,Mishi Kobe Niku,Meat/Poultry,5,Mishi Kobe Niku,Meat/Poultry
10,Ikura,Seafood,5,Ikura,Seafood
11,Queso Cabrales,Dairy Products,5,Queso Cabrales,Dairy Products
12,Queso Manchego La Pastora,Dairy Products,5,Queso Manchego La Pastora,Dairy Products
13,Konbu,Seafood,5,Konbu,Seafood
14,Tofu,Produce,5,Tofu,Produce
15,Genen Shouyu,Condiments,5,Genen Shouyu,Condiments
16,Pavlova,Confections,5,Pavlova,Confections
17,Alice Mutton,Meat/Poultry,5,Alice Mutton,Meat/Poultry
18,Carnarvon Tigers,Seafood,5,Carnarvon Tigers,Seafood
19,Teatime Chocolate Biscuits,Confections,5,Teatime Chocolate Biscuits,Confections
20,Sir Rodney's Marmalade,Confections,5,Sir Rodney's Marmalade,Confections
21,Sir Rodney's Scones,Confections,5,Sir Rodney's Scones,Confections
22,Gustaf's Knackebrod,Grains/Cereals,5,Gustaf's Knackebrod,Grains/Cereals
23,Tunnbrod,Grains/Cereals,5,Tunnbrod,Grains/Cereals
24,Guarana Fantastica,Beverages,5,Guarana Fantastica,Beverages
25,NuNuCa Nu?-Nougat-Creme,Confections,5,NuNuCa Nu?-Nougat-Creme,Confections
26,Gumbar Gummibarchen,Confections,5,Gumbar Gummibarchen,Confections
27,Schoggi Schokolade,Confections,5,Schoggi Schokolade,Confections
28,Rossle Sauerkraut,Produce,5,Rossle Sauerkraut,Produce
29,Thuringer Rostbratwurst,Meat/Poultry,5,Thuringer Rostbratwurst,Meat/Poultry
30,Nord-Ost Matjeshering,Seafood,5,Nord-Ost Matjeshering,Seafood
31,Gorgonzola Telino,Dairy Products,5,Gorgonzola Telino,Dairy Products
32,Mascarpone Fabioli,Dairy Products,5,Mascarpone Fabioli,Dairy Products
33,Geitost,Dairy Products,5,Geitost,Dairy Products
34,Sasquatch Ale,Beverages,5,Sasquatch Ale,Beverages
35,Steeleye Stout,Beverages,5,Steeleye Stout,Beverages
36,Inlagd Sill,Seafood,5,Inlagd Sill,Seafood
37,Gravad lax,Seafood,5,Gravad lax,Seafood
38,Cote de Blaye,Beverages,5,Cote de Blaye,Beverages
39,Chartreuse verte,Beverages,5,Chartreuse verte,Beverages
40,Boston Crab Meat,Seafood,5,Boston Crab Meat,Seafood
41,Jack's New England Clam Chowder,Seafood,5,Jack's New England Clam Chowder,Seafood
42,Singaporean Hokkien Fried Mee,Grains/Cereals,5,Singaporean Hokkien Fried Mee,Grains/Cereals
43,Ipoh Coffee,Beverages,5,Ipoh Coffee,Beverages
44,Gula Malacca,Condiments,5,Gula Malacca,Condiments
45,Rogede sild,Seafood,5,Rogede sild,Seafood
46,Spegesild,Seafood,5,Spegesild,Seafood
47,Zaanse koeken,Confections,5,Zaanse koeken,Confections
48,Chocolade,Confections,5,Chocolade,Confections
49,Maxilaku,Confections,5,Maxilaku,Confections
50,Valkoinen suklaa,Confections,5,Valkoinen suklaa,Confections
51,Manjimup Dried Apples,Produce,5,Manjimup Dried Apples,Produce
52,Filo Mix,Grains/Cereals,5,Filo Mix,Grains/Cereals
53,Perth Pasties,Meat/Poultry,5,Perth Pasties,Meat/Poultry
54,Tourtiere,Meat/Poultry,5,Tourtiere,Meat/Poultry
55,Pate chinois,Meat/Poultry,5,Pate chinois,Meat/Poultry
56,Gnocchi di nonna Alice,Grains/Cereals,5,Gnocchi di nonna Alice,Grains/Cereals
57,Ravioli Angelo,Grains/Cereals,5,Ravioli Angelo,Grains/Cereals
58,Escargots de Bourgogne,Seafood,5,Escargots de Bourgogne,Seafood
59,Raclette Courdavault,Dairy Products,5,Raclette Courdavault,Dairy Products
60,Camembert Pierrot,Dairy Products,5,Camembert Pierrot,Dairy Products
61,Sirop d'erable,Condiments,5,Sirop d'erable,Condiments
62,Tarte au sucre,Confections,5,Tarte au sucre,Confections
63,Vegie-spread,Condiments,5,Vegie-spread,Condiments
64,Wimmers gute Semmelknodel,Grains/Cereals,5,Wimmers gute Semmelknodel,Grains/Cereals
65,Louisiana Fiery Hot Pepper Sauce,Condiments,5,Louisiana Fiery Hot Pepper Sauce,Condiments
66,Louisiana Hot Spiced Okra,Condiments,5,Louisiana Hot Spiced Okra,Condiments
67,Laughing Lumberjack Lager,Beverages,5,Laughing Lumberjack Lager,Beverages
68,Scottish Longbreads,Confections,5,Scottish Longbreads,Confections
69,Gudbrandsdalsost,Dairy Products,5,Gudbrandsdalsost,Dairy Products
70,Outback Lager,Beverages,5,Outback Lager,Beverages
71,Flotemysost,Dairy Products,5,Flotemysost,Dairy Products
72,Mozzarella di Giovanni,Dairy Products,5,Mozzarella di Giovanni,Dairy Products
73,Rod Kaviar,Seafood,5,Rod Kaviar,Seafood
74,Longlife Tofu,Produce,5,Longlife Tofu,Produce
75,Rhonbrau Klosterbier,Beverages,5,Rhonbrau Klosterbier,Beverages
76,Lakkalikoori,Beverages,5,Lakkalikoori,Beverages
77,Original Frankfurter grune So?e,Condiments,5,Original Frankfurter grune So?e,Condiments
